no,name,lat,lng
386,新竹市武陵農改往湳雅外,24.818464,120.971133
387,新竹市武陵農改往湳中內,24.818464,120.971133
388,新竹市武陵農改往湳中外,24.8219633,120.964104
389,新竹市武陵農改往鐵道內,24.8219633,120.964104
390,新竹市武陵農改往鐵道外,24.8219633,120.964104
391,新竹市湳雅鐵道往公道五,24.8219633,120.964104
392,新竹市湳雅街187巷口路牌,24.8219507,120.971644
393,新竹市湳雅街167號派出所對面,24.8204305,120.9721897
394,新竹市湳雅街167號派出所對面,24.8198653,120.9713664
395,新竹市湳雅街187巷41號,24.8201834,120.9715872
396,新竹市湳雅街147巷口,24.8204681,120.9701751
397,新竹市湳雅街147巷內土地公廟,24.8197213,120.9720082
398,新竹市湳雅街147巷內土地公廟屋頂內,24.8198855,120.9717179
399,新竹市湳雅街147巷45弄6號,24.8198855,120.9717179
400,新竹市湳雅街147巷61號外牆,24.8203438,120.9704154
401,新竹市武陵路222巷56號,24.8196218,120.9728508
402,新竹市武陵路222巷48號,24.8196218,120.9728508
403,新竹市武陵路222巷48號往巷內,24.8204681,120.9701751
404,新竹市武陵路218巷47號,24.8261377,120.9704863
405,新竹市湳雅街126巷朝巷內,24.8243576,120.9753667
406,新竹市公道湳雅街313巷口往竹東,24.821037,120.971587
407,新竹市公道湳雅街313巷口往南寮,24.8203601,120.970119
408,新竹市湳雅街313巷75號,24.8239365,120.9750621
409,新竹市湳雅街311巷36弄65號,24.8249761,120.9760408
410,新竹市湳雅街313巷29弄15號,24.8238301,120.97649
411,新竹市湳雅街313巷30號巷內,24.8238301,120.97649
412,新竹市湳雅街313巷30號巷口,24.823945,120.975441
413,新竹市湳雅街311巷36弄,24.8239365,120.9750621
414,新竹市湳雅街311巷36弄往金竹路,24.8217789,120.975411
415,新竹市湳雅街311巷18號,24.8229811,120.9759082
416,新竹市湳雅街313巷10號巷內,24.8218223,120.9761601
417,新竹市湳雅街313巷10號巷口,24.818464,120.971133
418,新竹市湳雅街311巷10號,24.8232301,120.976568
419,新竹市湳雅金竹制高點,24.8232301,120.976568
420,新竹市金竹湳雅往路,24.8230418,120.9756205
421,新竹市湳雅金竹往鐵道,24.8217789,120.975411
422,新竹市湳雅街218巷,24.8218223,120.9761601
423,新竹市湳雅街194巷,24.8216268,120.9779781
424,新竹市湳雅街218巷10號,24.818464,120.971133
425,新竹市湳雅街244號,24.822063,120.9777556
426,新竹市湳雅街282巷1號,24.8170991,120.969899
427,新竹市光華二街198號前路燈,24.8196218,120.9728508
428,新竹市光華二街169號前,24.8223923,120.9782254
429,新竹市光華二街172巷,24.8213986,120.9757816
430,新竹市鐵道湳雅往武陵,24.8208147,120.9738197
431,新竹市湳雅鐵道往派出所,24.8225053,120.9765773
432,新竹市湳雅街201巷口,24.823124,120.977603
433,新竹市鐵道湳雅往光華二,24.8219507,120.971644
434,新竹市鐵道湳雅全景,24.8219507,120.971644
435,新竹市湳雅街187巷80號往湳雅,24.8219507,120.971644
436,新竹市湳雅街187巷80號往鐵道,24.8205197,120.9738486
437,新竹市湳雅街187巷80號往武陵,24.8220304,120.9709941
438,新竹市武陵路250巷41號外牆,24.8218027,120.9710581
439,新竹市武陵路264巷50號電桿,24.8219183,120.9706238
440,新竹市鐵道路,24.8219115,120.9704018
441,新竹市武陵路264巷內,24.8211293,120.9729044
442,新竹市武陵路264巷口往250巷,24.8213953,120.9711024
443,新竹市武陵路250巷11號外牆,24.82113,120.977038
444,新竹市武陵路240巷16號外牆,24.8210155,120.9697229
445,新竹市武陵路232號外牆,24.8240431,120.9737029
446,新竹市武陵路228巷口補習班,24.8206035,120.9708177
447,新竹市武陵路222巷口,24.8196416,120.9689002
448,新竹市武陵路196巷經典社區外牆,24.8214081,120.9692473
449,新竹市金竹舊社國小球型,24.8233456,120.9732204
450,新竹市湳雅街311巷50弄1號照舊社國小,24.8236201,120.9746918
451,新竹市湳雅街311巷50弄1號照湖濱儷園,24.8208192,120.9695544
452,新竹市金竹路102巷內,24.8232394,120.9746741
453,新竹市金竹路102巷口往107巷,24.8229905,120.9734822
454,新竹市湳雅街311巷42弄,24.8229905,120.9734822
455,新竹市金竹路118巷53弄口,24.8234491,120.9696279
456,新竹市金竹路118巷67弄口附近,24.820119,120.9672747
457,新竹市金竹路118巷62弄10號附近,24.8249424,120.9747048
458,新竹市鐵道路166巷49號照鐵道路166巷,24.8227072,120.9702977
459,新竹市金竹路111巷口全景,24.8232992,120.9723193
460,新竹市武陵路278巷往鐵道路,24.8180968,120.9643704
461,新竹市武陵路278巷3弄口,24.8234283,120.9727632
462,新竹市武陵路245巷1弄底,24.8244357,120.973323
463,新竹市武陵路245巷1弄口往鐵道路278巷,24.8234409,120.9689181
464,新竹市武陵路278巷245巷口,24.824044,120.973075
465,新竹市光華二街80巷往光華二街,24.8198333,120.9761631
466,新竹市光華二街80巷內,24.8185031,120.9757974
467,新竹市光華二街72巷25弄底,24.818429,120.975754
468,新竹市鐵道光華二往經國,24.8190601,120.9693325
469,新竹市光華二鐵道往光華北,24.8147965,120.9808797
470,新竹市鐵道光華二往湳雅,24.8192785,120.9757087
471,新竹市光華二鐵道往公道五,24.8194699,120.9776355
472,新竹市光華二街72巷口,24.8183275,120.9779758
